"APPLNO","APPLDT","ENTRYDT","PRODDS","LOANTP"
"5000045940","18-Nov-2022 12:00:00 AM","18-Nov-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045938","17-Nov-2022 12:00:00 AM","18-Nov-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045838","05-Oct-2022 12:00:00 AM","03-Nov-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045958","28-Nov-2022 12:00:00 AM","29-Nov-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045923","14-Nov-2022 12:00:00 AM","15-Nov-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045899","27-Oct-2022 12:00:00 AM","02-Nov-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045896","26-Oct-2022 12:00:00 AM","02-Nov-2022 12:00:00 AM","CARS-SECOND HAND              ","REF         "
"5000045893","25-Oct-2022 12:00:00 AM","02-Nov-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045891","24-Oct-2022 12:00:00 AM","02-Nov-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045954","23-Nov-2022 12:00:00 AM","29-Nov-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045883","21-Oct-2022 12:00:00 AM","07-Nov-2022 12:00:00 AM","CARS-SECOND HAND              ","FIN         "
"5000045921","11-Nov-2022 12:00:00 AM","17-Nov-2022 12:00:00 AM","TRUCKS-SECOND HAND            ","FIN         "
"5000045915","08-Nov-2022 12:00:00 AM","15-Nov-2022 12:00:00 AM","TRUCKS-SECOND HAND            ","FIN         "
