"LOANNO","BRANCHNAME","LOANTP","FULRLDT","RENTAG","INTRT","MKTASST","AMTFIN"
"1000220290","NUEVA ECIJA HUB                                                                                                                                                                                         ","FIN         ","12-Sep-2022 12:00:00 AM","N","43.2","LVALEROSO   ","280000"
"1000220280","NUEVA ECIJA HUB                                                                                                                                                                                         ","REF         ","13-Sep-2022 12:00:00 AM","N","33.6","JSCADIZ     ","320000"
"1000220264","NUEVA ECIJA HUB                                                                                                                                                                                         ","","09-Sep-2022 12:00:00 AM","R","21.42","MKCADIZ     ","50000"
"1000220218","NUEVA ECIJA HUB                                                                                                                                                                                         ","FIN         ","09-Sep-2022 12:00:00 AM","N","62.4","JTADIAMAN   ","340000"
"1000220195","NUEVA ECIJA HUB                                                                                                                                                                                         ","FIN         ","06-Sep-2022 12:00:00 AM","N","62.4","JTADIAMAN   ","495000"
"1000220584","NUEVA ECIJA HUB                                                                                                                                                                                         ","FIN         ","30-Sep-2022 12:00:00 AM","N","47.52","JTADIAMAN   ","550000"
"1000220573","NUEVA ECIJA HUB                                                                                                                                                                                         ","FIN         ","30-Sep-2022 12:00:00 AM","R","46.8","LVALEROSO   ","742000"
"1000220564","NUEVA ECIJA HUB                                                                                                                                                                                         ","REF         ","30-Sep-2022 12:00:00 AM","R","32.6","JTADIAMAN   ","200000"
"1000220535","NUEVA ECIJA HUB                                                                                                                                                                                         ","","30-Sep-2022 12:00:00 AM","R","21.42","LVALEROSO   ","50000"
"1000220509","NUEVA ECIJA HUB                                                                                                                                                                                         ","REF         ","29-Sep-2022 12:00:00 AM","R","33.13","JTADIAMAN   ","220000"
"1000220451","NUEVA ECIJA HUB                                                                                                                                                                                         ","REF         ","22-Sep-2022 12:00:00 AM","R","31.95","LVALEROSO   ","560000"
"1000220444","NUEVA ECIJA HUB                                                                                                                                                                                         ","","30-Sep-2022 12:00:00 AM","R","5","LVALEROSO   ","12000"
"1000220439","NUEVA ECIJA HUB                                                                                                                                                                                         ","","22-Sep-2022 12:00:00 AM","N","10","LVALEROSO   ","15000"
"1000220423","NUEVA ECIJA HUB                                                                                                                                                                                         ","REF         ","22-Sep-2022 12:00:00 AM","R","36","LVALEROSO   ","250000"
"1000220396","NUEVA ECIJA HUB                                                                                                                                                                                         ","REF         ","22-Sep-2022 12:00:00 AM","R","33","LVALEROSO   ","284000"
"1000220382","NUEVA ECIJA HUB                                                                                                                                                                                         ","","19-Sep-2022 12:00:00 AM","R","18.9","MKCADIZ     ","100000"
"1000220337","NUEVA ECIJA HUB                                                                                                                                                                                         ","FIN         ","14-Sep-2022 12:00:00 AM","N","28.8","JTADIAMAN   ","324000"
"1000220329","NUEVA ECIJA HUB                                                                                                                                                                                         ","REF         ","13-Sep-2022 12:00:00 AM","N","48.4","JTADIAMAN   ","172000"
"1000220314","NUEVA ECIJA HUB                                                                                                                                                                                         ","","14-Sep-2022 12:00:00 AM","R","10.71","LVALEROSO   ","15000"
"1000220279","NUEVA ECIJA HUB                                                                                                                                                                                         ","","09-Sep-2022 12:00:00 AM","R","21.42","MKCADIZ     ","50000"
"1000220249","NUEVA ECIJA HUB                                                                                                                                                                                         ","","08-Sep-2022 12:00:00 AM","N","10","LVALEROSO   ","35000"
"1000220254","TARLAC VIRTUAL                                                                                                                                                                                          ","","15-Sep-2022 12:00:00 AM","R","20.16","BLEBANTINO  ","50000"
"1000220303","TARLAC VIRTUAL                                                                                                                                                                                          ","FIN         ","21-Sep-2022 12:00:00 AM","N","62.4","BLEBANTINO  ","300000"
"1000220203","PAMPANGA HUB                                                                                                                                                                                            ","","07-Sep-2022 12:00:00 AM","R","21.42","HPMESINA    ","100000"
"1000220512","PAMPANGA HUB                                                                                                                                                                                            ","","30-Sep-2022 12:00:00 AM","R","20.16","HPMESINA    ","50000"
"1000220493","PAMPANGA HUB                                                                                                                                                                                            ","","28-Sep-2022 12:00:00 AM","N","21.42","HPMESINA    ","75000"
"1000220486","PAMPANGA HUB                                                                                                                                                                                            ","FIN         ","28-Sep-2022 12:00:00 AM","N","47.52","LPUNSALAN   ","770000"
"1000220475","PAMPANGA HUB                                                                                                                                                                                            ","REF         ","28-Sep-2022 12:00:00 AM","R","13.8","LPUNSALAN   ","900000"
"1000220419","PAMPANGA HUB                                                                                                                                                                                            ","REF         ","27-Sep-2022 12:00:00 AM","R","47.4","LPUNSALAN   ","500000"
"1000220404","PAMPANGA HUB                                                                                                                                                                                            ","","21-Sep-2022 12:00:00 AM","R","18.9","HPMESINA    ","100000"
"1000220367","PAMPANGA HUB                                                                                                                                                                                            ","REF         ","14-Sep-2022 12:00:00 AM","R","15","LPUNSALAN   ","165000"
"1000220238","PAMPANGA HUB                                                                                                                                                                                            ","REF         ","12-Sep-2022 12:00:00 AM","R","23","LPUNSALAN   ","250000"
"1000220223","PAMPANGA HUB                                                                                                                                                                                            ","","13-Sep-2022 12:00:00 AM","R","15.75","HPMESINA    ","100000"
